image_path,flag,percent,m,hm
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2077_8470_class_0.jpg,1,0.0174,2326,133621
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PE/PE019301N2/PE019301N2_12952_3032_class_0.jpg,1,0.0231,3192,138303
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PE/PE019301N2/PE019301N2_12764_4907_class_0.jpg,1,0.0269,3743,139286
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PE/PE019301N1/PE019301N1_2264_7907_class_0.jpg,1,0.0217,2989,137428
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PE/PE019301N2/PE019301N2_12952_3782_class_0.jpg,1,0.0328,4544,138572
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PE/PE019301N2/PE019301N2_12764_5095_class_0.jpg,0,0.0475,6582,138581
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PE/PE019301N1/PE019301N1_2077_9407_class_0.jpg,1,0.0236,3223,136771
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PE/PE019301N1/PE019301N1_2077_8470_class_0.jpg,1,0.0174,2326,133621
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PE/PE019301N2/PE019301N2_12952_2845_class_0.jpg,1,0.0261,3620,138693
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PE/PE019301N1/PE019301N1_2077_9220_class_0.jpg,1,0.0203,2833,139793
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PE/PE019301N1/PE019301N1_2077_9032_class_0.jpg,1,0.0201,2764,137604
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_5789_11544_class_0.jpg,0,0.0674,9478,140556
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_00005_00005_class_0.jpg,0,0.0674,9478,140556
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_00004_00004_class_0.jpg,0,0.0674,9478,140556
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_00002_00002_class_0.jpg,0,0.0674,9478,140556
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_00003_00003_class_0.jpg,0,0.0674,9478,140556
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_00006_00006_class_0.jpg,0,0.0674,9478,140556
/media/prostate/20200414_prostate_normalize_ite_fix_lumithres0.8_out_shorttissue_flag/color_normalization_ite_fix_lumthres0.8_out_shorttissue_flag_refactor/v4_dai2ki_color_normalization_modified_version/out/20200415test/5p375N/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_00001_00001_class_0.jpg,0,0.0674,9478,140556
