image_path,flag,percent,m,hm
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/EXCEPTION/EXCEPTION019301N1/EXCEPTION019301N1_2077_8470_class_0.jpg,1,0.0174,2329,133621
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PE/PE019301N2/PE019301N2_12952_3032_class_0.jpg,1,0.0226,3126,138303
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PE/PE019301N2/PE019301N2_12952_3782_class_0.jpg,1,0.0328,4549,138572
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PE/PE019301N2/PE019301N2_12764_4907_class_0.jpg,1,0.0269,3740,139286
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PE/PE019301N2/PE019301N2_12764_5095_class_0.jpg,0,0.0473,6554,138581
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PE/PE019301N1/PE019301N1_2264_7907_class_0.jpg,1,0.0218,2991,137428
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PE/PE019301N2/PE019301N2_12952_2845_class_0.jpg,1,0.0259,3597,138693
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PE/PE019301N1/PE019301N1_2077_9407_class_0.jpg,1,0.0235,3217,136771
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PE/PE019301N1/PE019301N1_2077_9220_class_0.jpg,1,0.0202,2824,139793
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PE/PE019301N1/PE019301N1_2077_9032_class_0.jpg,1,0.0201,2762,137604
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PE/PE019301N1/PE019301N1_2077_8470_class_0.jpg,1,0.0174,2329,133621
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_00003_00003_class_0.jpg,0,0.0674,9480,140556
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_00006_00006_class_0.jpg,0,0.0674,9480,140556
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_00004_00004_class_0.jpg,0,0.0674,9480,140556
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_00001_00001_class_0.jpg,0,0.0674,9480,140556
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_00005_00005_class_0.jpg,0,0.0674,9480,140556
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_5789_11544_class_0.jpg,0,0.0674,9480,140556
/mnt/c/Users/sato/root/prostate/20200515_color_normalize_01_save_path_fix/color_normalize/out/20200515test/Normalize_per_ROI/P02212/PS/PS00202N1/PS00202N1_00002_00002_class_0.jpg,0,0.0674,9480,140556
